"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-27 10:44:34 013498940_167_000_000_001_1","DOWN-VOTE","","28,511.07","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-27 10:44:34 013498940_167_000_000_001_0","WITHDRAW","-20,000.00","8,511.07","","",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","28,511.07","Ratification Poll for Growth Core Unit Budget, GRO-001 (MIP40c3-SP37) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","28,511.07","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - October 11, 2021","No",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","28,511.07","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","28,511.07","Ratification Poll for Adding MakerLabs Core Unit (SNUNK-001) - October 11, 2021","No",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","28,511.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","No",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","28,511.07","Ratification Poll for Adding Data Insights Core Unit (DIN-001) - October 11, 2021","Yes",""
"2021-10-23 11:29:57 013473486_127_000_1","CHOOSE","","28,511.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","No",""
"2021-10-23 11:29:57 013473486_127_000_0","RETRACT","","28,511.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","",""
"2021-10-21 16:00:00 013461957_000_000","FINAL_CHOICE","","28,511.07","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-21 15:14:58 013461755_200_001_1","UP-VOTE","","28,511.07","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-21 15:14:58 013461755_200_001_0","STAKE","199.00","28,511.07","","",""
"2021-10-20 19:07:10 013456390_360_000_1","CHOOSE","","28,312.07","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-10-20 19:07:10 013456390_360_000_0","RETRACT","","28,312.07","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","",""
"2021-10-20 14:22:26 013455118_264_000_1","CHOOSE","","28,312.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","Abstain",""
"2021-10-20 14:22:26 013455118_264_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - CSC (Curio Stablecoin) - October 18, 2021","Abstain",""
"2021-10-20 14:22:26 013455118_264_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Abstain",""
"2021-10-20 14:22:26 013455118_264_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - TM2-DROP (Technology Metals Market) - October 18, 2021","Abstain",""
"2021-10-20 14:22:26 013455118_264_000_0","CHOOSE","","28,312.07","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-20 14:22:26 013455118_264_000_0","RETRACT","","28,312.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","",""
"2021-10-18 16:00:00 013442748_000_000","FINAL_CHOICE","","28,312.07","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Abstain",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","28,312.07","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","28,312.07","Nexo Institutional Vault Onboarding - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","28,312.07","PaperImperium Supplemental Compensation - October 11, 2021","Abstain",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","28,312.07","Add the Aave Direct Deposit DAI Module (D3M) - October 11, 2021","Yes",""
