"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-11-26 16:45:15 013690909_330_000_3","VOTE","","20,283.58","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","",""
"2021-11-26 16:45:15 013690909_330_000_2","VOTE","","20,283.58","Template - [Executive Proposal] Onboarding WBTC-B, Increasing WBTC-A Stability Fee, Change of Covenants for P1-DROP, Offboarding Collaterals - November 19, 2021.","",""
"2021-11-26 16:45:15 013690909_330_000_1","MOVE VOTE","","20,283.58","Template - [Executive Proposal] Onboarding WBTC-B, Increasing WBTC-A Stability Fee, Change of Covenants for P1-DROP, Offboarding Collaterals - November 19, 2021.","",""
"2021-11-26 16:45:15 013690909_330_000_0","MOVE VOTE","","20,283.58","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","20,283.58","Add a GUSD Peg Stability Module - November 22, 2021","Yes",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","20,283.58","Add WBTC-C as a new Vault Type - November 22, 2021","Yes",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","20,283.58","Increase the Aave D3M Maximum Debt Ceiling - November 22, 2021","Yes",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","20,283.58","Increase the System Surplus Buffer - November 22, 2021","Increase to 90 million by 1 million per weekIncrease to 130 million by 1 million per weekIncrease to 90 million by 0.67 million per weekIncrease to 130 million by 0.67 million per week",""
"2021-11-22 18:38:07 013666111_157_000_0","CHOOSE","","20,283.58","Community Greenlight Poll - SB-frOGI (SolidBlock Red Frog Digital Coin) - November 15, 2021","Abstain",""
"2021-11-22 18:38:07 013666111_157_000_0","CHOOSE","","20,283.58","Add WBTC-C as a new Vault Type - November 22, 2021","Yes",""
"2021-11-22 18:38:07 013666111_157_000_0","CHOOSE","","20,283.58","Increase the System Surplus Buffer - November 22, 2021","Increase to 90 million by 1 million per weekIncrease to 130 million by 1 million per weekIncrease to 90 million by 0.67 million per weekIncrease to 130 million by 0.67 million per week",""
"2021-11-22 18:38:07 013666111_157_000_0","CHOOSE","","20,283.58","Add a GUSD Peg Stability Module - November 22, 2021","Yes",""
"2021-11-22 18:38:07 013666111_157_000_0","CHOOSE","","20,283.58","Community Greenlight Poll - MONETALIS (Monetalis Wholesale SME Green Growth Lending) - November 15, 2021","Yes (Greenlight)",""
"2021-11-22 18:38:07 013666111_157_000_0","CHOOSE","","20,283.58","Increase the Aave D3M Maximum Debt Ceiling - November 22, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for Adding Sidestream Auction Services Core Unit, SAS-001 - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for Real-World Finance Core Unit MKR Compensation, RWF-001 (MIP40c3-SP38) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for Supplement to Collateral Onboarding Application (MIP6c3-SP1) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for Modify Core Unit Budget, COM-001 (MIP40c3-SP40) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for Modify Core Unit Budget, RWF-001 (MIP40c3-SP39) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for the Immunefi Security Core Unit (IS-001) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","20,283.58","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - November 8, 2021","Yes",""
"2021-11-22 10:13:25 013663896_031_001_2","UP-VOTE","","20,283.58","Template - [Executive Proposal] Onboarding WBTC-B, Increasing WBTC-A Stability Fee, Change of Covenants for P1-DROP, Offboarding Collaterals - November 19, 2021.","",""
"2021-11-22 10:13:25 013663896_031_001_1","UP-VOTE","","20,283.58","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-22 10:13:25 013663896_031_001_0","STAKE","76.65","20,283.58","","",""
"2021-11-20 15:09:46 013652607_004_001_2","UP-VOTE","","20,206.93","Template - [Executive Proposal] Onboarding WBTC-B, Increasing WBTC-A Stability Fee, Change of Covenants for P1-DROP, Offboarding Collaterals - November 19, 2021.","",""
"2021-11-20 15:09:46 013652607_004_001_1","UP-VOTE","","20,206.93","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","","YES"
"2021-11-20 15:09:46 013652607_004_001_0","STAKE","3.31","20,206.93","","",""
"2021-11-19 21:32:56 013647936_215_000_3","VOTE","","20,203.62","Template - [Executive Proposal] Onboarding WBTC-B, Increasing WBTC-A Stability Fee, Change of Covenants for P1-DROP, Offboarding Collaterals - November 19, 2021.","",""
"2021-11-19 21:32:56 013647936_215_000_2","VOTE","","20,203.62","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-19 21:32:56 013647936_215_000_1","MOVE VOTE","","20,203.62","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-19 21:32:56 013647936_215_000_0","MOVE VOTE","","20,203.62","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","20,203.62","Offboard the COMP-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","20,203.62","Offboard the BAL-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","20,203.62","Offboard the AAVE-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","20,203.62","Rates Proposal - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","20,203.62","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","20,203.62","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for Real-World Finance Core Unit MKR Compensation, RWF-001 (MIP40c3-SP38) - November 8, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for Adding Sidestream Auction Services Core Unit, SAS-001 - November 8, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for Supplement to Collateral Onboarding Application (MIP6c3-SP1) - November 8, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for Modify Core Unit Budget, RWF-001 (MIP40c3-SP39) - November 8, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for Modify Core Unit Budget, COM-001 (MIP40c3-SP40) - November 8, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for the Immunefi Security Core Unit (IS-001) - November 8, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - November 8, 2021","Yes",""
"2021-11-17 18:10:43 013634500_049_000_0","CHOOSE","","20,203.62","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - November 8, 2021","Yes",""
"2021-11-16 06:22:59 013624992_160_000_000_001_2","UP-VOTE","","20,203.62","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-16 06:22:59 013624992_160_000_000_001_1","UP-VOTE","","20,203.62","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-16 06:22:59 013624992_160_000_000_001_0","STAKE","103.31","20,203.62","","",""
"2021-11-16 05:07:23 013624674_107_000_0","CHOOSE","","20,100.30","Rates Proposal - November 15, 2021","Yes",""
"2021-11-16 05:07:23 013624674_107_000_0","CHOOSE","","20,100.30","Offboard the COMP-A Vault Type - November 15, 2021","Yes",""
"2021-11-16 05:07:23 013624674_107_000_0","CHOOSE","","20,100.30","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Yes",""
"2021-11-16 05:07:23 013624674_107_000_0","CHOOSE","","20,100.30","Offboard the AAVE-A Vault Type - November 15, 2021","Yes",""
"2021-11-16 05:07:23 013624674_107_000_0","CHOOSE","","20,100.30","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-16 05:07:23 013624674_107_000_0","CHOOSE","","20,100.30","Offboard the BAL-A Vault Type - November 15, 2021","Yes",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","20,100.30","Community Greenlight Poll - MDI (MD Irradiance LLC) - November 1, 2021","Abstain",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","20,100.30","Community Greenlight Poll - OHM (Olympus DAO) - November 1, 2021","No (Defer)",""
"2021-11-15 03:13:09 013617895_040_001_2","DOWN-VOTE","","20,150.30","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
