"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-11-24 23:29:20 013680086_018_000_0","CHOOSE","","5,039.34","Increase the System Surplus Buffer - November 22, 2021","Increase to 130 million by 1 million per weekIncrease to 90 million by 1 million per weekIncrease to 130 million by 0.67 million per weekIncrease to 90 million by 0.67 million per week",""
"2021-11-24 23:29:20 013680086_018_000_0","CHOOSE","","5,039.34","Community Greenlight Poll - SB-frOGI (SolidBlock Red Frog Digital Coin) - November 15, 2021","Abstain",""
"2021-11-24 23:29:20 013680086_018_000_0","CHOOSE","","5,039.34","Community Greenlight Poll - MONETALIS (Monetalis Wholesale SME Green Growth Lending) - November 15, 2021","Abstain",""
"2021-11-24 23:29:20 013680086_018_000_0","CHOOSE","","5,039.34","Add WBTC-C as a new Vault Type - November 22, 2021","Yes",""
"2021-11-21 00:38:30 013655086_123_000_1","VOTE","","5,039.34","Template - [Executive Proposal] Onboarding WBTC-B, Increasing WBTC-A Stability Fee, Change of Covenants for P1-DROP, Offboarding Collaterals - November 19, 2021.","","YES"
"2021-11-21 00:38:30 013655086_123_000_0","MOVE VOTE","","5,039.34","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,039.34","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,039.34","Rates Proposal - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,039.34","Offboard the AAVE-A Vault Type - November 15, 2021","Abstain",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,039.34","Offboard the BAL-A Vault Type - November 15, 2021","Abstain",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,039.34","Offboard the COMP-A Vault Type - November 15, 2021","Abstain",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,039.34","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Yes",""
"2021-11-18 15:48:37 013640222_285_000_0","CHOOSE","","5,039.34","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Yes",""
"2021-11-18 15:48:37 013640222_285_000_0","CHOOSE","","5,039.34","Rates Proposal - November 15, 2021","Yes",""
"2021-11-18 15:48:37 013640222_285_000_0","CHOOSE","","5,039.34","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-18 15:48:37 013640222_285_000_0","CHOOSE","","5,039.34","Offboard the BAL-A Vault Type - November 15, 2021","Abstain",""
"2021-11-18 15:48:37 013640222_285_000_0","CHOOSE","","5,039.34","Offboard the COMP-A Vault Type - November 15, 2021","Abstain",""
"2021-11-18 15:48:37 013640222_285_000_0","CHOOSE","","5,039.34","Offboard the AAVE-A Vault Type - November 15, 2021","Abstain",""
"2021-11-07 17:17:42 013570647_437_001_1","DOWN-VOTE","","5,139.34","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-07 17:17:42 013570647_437_001_0","WITHDRAW","-100.00","5,039.34","","",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","5,139.34","Community Greenlight Poll - TM2-DROP (Technology Metals Market) - October 18, 2021","Abstain",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","5,139.34","Clean Money Sentiment - October 25, 2021","Abstain",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","5,139.34","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","5,139.34","Community Greenlight Poll - CSC (Curio Stablecoin) - October 18, 2021","No (Defer)",""
"2021-10-31 01:27:39 013521909_116_000_1","VOTE","","5,139.34","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
