"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Rates Proposal - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Set AAVE-A Debt Ceiling Instant Access Module Parameters - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Set YFI-A Debt Ceiling Instant Access Module Parameters - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Set COMP-A Debt Ceiling Instant Access Module Parameters - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Set UNI-A Debt Ceiling Instant Access Module Parameters - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Set LINK-A Debt Ceiling Instant Access Module Parameters - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Set WBTC-A Debt Ceiling Instant Access Module Parameters - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Interim DAO Budget - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Add UNI-V2-LINK-ETH (UniswapV2 LINK-ETH LP Token) as a Collateral Type - February 8, 2021","Yes",""
"2021-02-08 16:40:55 011816966_039_000_0","CHOOSE","","20,540.00","Add UNI-V2-UNI-ETH (UniswapV2 UNI-ETH LP Token) as a Collateral Type - February 8, 2021","Yes",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-USDT (UniswapV2 DAI-USDT Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - stETH (LidoDAO Staked Ether) - January 18, 2021","Yes (Greenlight)",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - renFIL (RenVM Filecoin) - January 18, 2021","Abstain",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-USDC (UniswapV2 DAI-USDC Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - P1-DROP (Peoples Company DROP) - January 18, 2021","Yes (Greenlight)",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - WFIL (Wrapped Filecoin) - January 18, 2021","Abstain",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - STAKE (xDAI STAKE) - January 18, 2021","Yes (Greenlight)",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-WBTC (UniswapV2 DAI-WBTC Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
