"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-12 22:54:47 013406449_051_000_0","CHOOSE","","5,976.20","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Abstain",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","No",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Modify Core Unit Budget - Sustainable Ecosystem Scaling (MIP40c3-SP31) - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Risk Core Unit MKR Compensation (MIP40c3-SP25) -  September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","5,976.20","Community Greenlight Poll - RAI (Rai Reflex Index) - September 6, 2021","Yes (Greenlight)",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","5,976.20","Community Greenlight Poll - RARE (SuperRare) - September 6, 2021","No (Defer)",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","5,976.20","Adopt the Debt Ceiling Instant Access Module (DC-IAM) for PSM-PAX-A - September 13, 2021","Yes",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","5,976.20","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","5,976.20","Offboard KNC Legacy Token - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Adopt the Debt Ceiling Instant Access Module (DC-IAM) for PSM-PAX-A - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Abstain",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for Modify Core Unit Budget - Sustainable Ecosystem Scaling (MIP40c3-SP31) - September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","No",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Ratification Poll for Risk Core Unit MKR Compensation (MIP40c3-SP25) -  September 13, 2021","Yes",""
"2021-09-15 11:12:13 013229969_028_000_0","CHOOSE","","5,976.20","Offboard KNC Legacy Token - September 13, 2021","Yes",""
"2021-09-09 09:39:23 013190767_018_000_0","CHOOSE","","5,976.20","Community Greenlight Poll - RARE (SuperRare) - September 6, 2021","No (Defer)",""
"2021-09-09 09:39:23 013190767_018_000_0","CHOOSE","","5,976.20","Community Greenlight Poll - RAI (Rai Reflex Index) - September 6, 2021","Yes (Greenlight)",""
"2021-08-30 22:26:54 013129569_046_000_000_001_1","UP-VOTE","","5,976.20","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-30 22:26:54 013129569_046_000_000_001_0","STAKE","3,193.00","5,976.20","","",""
"2021-08-30 22:24:57 013129560_156_000_000_001_1","UP-VOTE","","2,783.20","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-30 22:24:57 013129560_156_000_000_001_0","STAKE","1,713.03","2,783.20","","",""
"2021-08-30 21:07:51 013129208_015_000_000_001_1","UP-VOTE","","1,070.17","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-30 21:07:51 013129208_015_000_000_001_0","STAKE","1,070.17","1,070.17","","",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","0.00","Community Greenlight Poll - CNC1-DROP (CapitalNow Cannabis DROP) - August 16, 2021","No (Defer)",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","0.00","Community Greenlight Poll - CGFF-DROP (Cauris Global Fintech Fund DROP) - August 16, 2021","Yes (Greenlight)",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","0.00","Community Greenlight Poll - NCP01-DROP (Nebula Capital Partners DROP) - August 16, 2021","Yes (Greenlight)",""
"2021-08-26 19:36:13 013102954_023_000_0","VOTE","","0.00","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-26 19:31:15 013102934_097_000_0","CHOOSE","","0.00","Community Greenlight Poll - NCP01-DROP (Nebula Capital Partners DROP) - August 16, 2021","Yes (Greenlight)",""
"2021-08-26 19:31:15 013102934_097_000_0","CHOOSE","","0.00","Community Greenlight Poll - CNC1-DROP (CapitalNow Cannabis DROP) - August 16, 2021","No (Defer)",""
"2021-08-26 19:31:15 013102934_097_000_0","CHOOSE","","0.00","Community Greenlight Poll - CGFF-DROP (Cauris Global Fintech Fund DROP) - August 16, 2021","Yes (Greenlight)",""
