"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-11-24 16:45:09 013678307_276_000_0","CHOOSE","","10,102.26","Add a GUSD Peg Stability Module - November 22, 2021","Yes",""
"2021-11-24 16:45:09 013678307_276_000_0","CHOOSE","","10,102.26","Increase the System Surplus Buffer - November 22, 2021","Increase to 90 million by 1 million per week",""
"2021-11-24 16:45:09 013678307_276_000_0","CHOOSE","","10,102.26","Add WBTC-C as a new Vault Type - November 22, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","10,102.26","Ratification Poll for Adding Sidestream Auction Services Core Unit, SAS-001 - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","10,102.26","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","10,102.26","Ratification Poll for Modify Core Unit Budget, COM-001 (MIP40c3-SP40) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","10,102.26","Ratification Poll for Modify Core Unit Budget, RWF-001 (MIP40c3-SP39) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","10,102.26","Ratification Poll for the Immunefi Security Core Unit (IS-001) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","10,102.26","Ratification Poll for Supplement to Collateral Onboarding Application (MIP6c3-SP1) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","10,102.26","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - November 8, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","10,102.26","Offboard the COMP-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","10,102.26","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","10,102.26","Rates Proposal - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","10,102.26","Offboard the AAVE-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","10,102.26","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Abstain",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","10,102.26","Offboard the BAL-A Vault Type - November 15, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Ratification Poll for Modify Core Unit Budget, RWF-001 (MIP40c3-SP39) - November 8, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Community Greenlight Poll - SB-frOGI (SolidBlock Red Frog Digital Coin) - November 15, 2021","Abstain",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Community Greenlight Poll - MONETALIS (Monetalis Wholesale SME Green Growth Lending) - November 15, 2021","Abstain",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Offboard the BAL-A Vault Type - November 15, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Offboard the AAVE-A Vault Type - November 15, 2021","Yes",""
